Unnamed: 0,star_name,distance_l,distance_par,diameter,class,mag,mag_a,visual_lum,color,distance_type,log_diameter,B-V,star_temp
1733,94 Ceti,73.0,22.4,1.1,V,+5.06,+3.31,4.13,"B-V= +0.57, U-B= +0.12, R-I= +0.30",80,0.04139268515822507,0.57,6014.13
1735,Bonner Durchmusterung +8°496,165.0,50.7,0.77,V,+8.46,+4.93,0.93,"B-V= +0.68, U-B= +0.16, R-I= +0.39",180,-0.11350927482751812,0.68,5692.5
1739,Cape Photographic Durchmusterung -50°441,65.0,20.0,0.75,V,+8.47,+6.97,0.1,R-I= +0.38,80,-0.12493873660829993,1.0,4958.1
1744,Kappa Reticuli,69.9,21.4,1.52,IV-V,+4.70,+3.05,5.27,"B-V= +0.39, U-B= -0.04, R-I= +0.11",80,0.18184358794477254,0.39,6653.51
1749,Bonner Durchmusterung +68°278,56.7,17.4,0.7,V,+9.17,+7.97,0.057,"B-V= +1.28, U-B= +1.20, R-I= +0.54",60,-0.1549019599857432,1.28,4481.37
1751,Wolf 225,79.9,24.5,0.82,V,+8.15,+6.20,0.29,"B-V= +0.78, U-B= +0.20",80,-0.08618614761628333,0.78,5434.86
1753,S.W. Burnham 543,51.4,15.8,0.69,V,+8.04,+7.06,0.13,"B-V= +1.11, U-B= +1.03, R-I= +0.45",60,-0.1611509092627447,1.11,4756.26
1755,Omicron(2) Eridani,16.45,5.044,1.063,V,+4.43,+5.91,0.376,"B-V= +0.82, U-B= +0.45, R-I= +0.31",20,0.026533264523296733,0.82,5339.72
1757,Cape Photographic Durchmusterung -57°659,88.3,27.1,0.99,V,+6.88,+4.72,1.13,,100,-0.004364805402450088,1.0,4958.1
1760,Aldebaran,65.1,20.0,51.5,III,+0.87 (increasing to +0.77),-0.63 (increasing to -0.73),156 (increasing to  171),"B-V= +1.54, U-B= +1.90, R-I= +0.70",80,1.7118072290411908,1.54,4129.12
1761,Bonner Durchmusterung +26°730,58.2,17.9,0.0106,wd,+15.80,+14.54,0.00013,"B-V= +0.65, U-B= -0.05",60,-1.9746941347352296,0.65,5775.91
1762,53 Eridani,109.0,33.5,9.9,IIIb,+3.91,+1.28,26.7,,120,0.9956351945975499,1.0,4958.1
1765,Alpha Caeli,65.7,20.1,1.11,V,+4.44,+2.92,5.91,"B-V= +0.34, U-B= +0.01, R-I= +0.20",80,0.04532297878665747,0.34,6863.1
1766,J. Herschel 3683,101.0,31.0,0.83,,+7.19,+4.74,1.11,,120,-0.0809219076239261,1.0,4958.1
1768,Bonner Durchmusterung +4°782,117.0,36.0,0.86,,+7.02,+4.24,1.76,"B-V= +0.55, U-B= +0.06",120,-0.06550154875643228,0.55,6077.61
1769,Donner 91,27.8,8.52,0.62,V,+8.46,+8.81,0.026,,40,-0.2076083105017461,1.0,4958.1
1770,Luyten Double Star 135,72.6,22.3,0.88,V,+7.02,+5.29,0.67,"B-V= +0.63, U-B= +0.03, R-I= +0.25",80,-0.05551732784983136,0.63,5833.24
1771,9 Aurigae,85.5,26.2,2.82,V,+5.00,+2.91,5.99,"B-V= +0.33, U-B= -0.01",100,0.45024910831936105,0.33,6907.02
1772,104 Tauri,51.8,15.9,1.03,V,+5.60,+4.60,1.26,,60,0.012837224705172215,1.0,4958.1
1774,Capella and Capella H,42.2,12.9,10.8,III,+0.71,+0.15,75.8,,60,1.0334237554869496,1.0,4958.1
1776,Bonner Durchmusterung -3°1061,55.0,16.9,0.75,V,+7.70,+6.56,0.21,,60,-0.12493873660829993,1.0,4958.1
1777,Bonner Durchmusterung -21°1131,66.1,20.3,0.65,V,+9.33,+7.80,0.066,,80,-0.1870866433571444,1.0,4958.1
1783,Gamma Leporis,29.25,8.969,1.272,V,+3.59,+3.83,2.568,"B-V= +0.47, U-B= +0.01, R-I= +0.16",40,0.10448711131239508,0.47,6349.29
1784,Chi(1) Orionis,28.26,8.663,1.49,,,,,,40,0.17318626841227402,1.0,4958.1
1788,Hussey 1399,49.0,15.0,0.73,V,+8.28,+7.38,0.10,,60,-0.13667713987954408,1.0,4958.1
1790,Bonner Durchmusterung +5°1168,63.0,19.3,1.05,V,+5.70,+4.27,1.70,"B-V= +0.60, U-B= +0.10, R-I= +0.22",80,0.021189299069938092,0.6,5921.96
1791,Cape Photographic Durchmusterung -59°619,74.0,23.0,1.01,V,+6.44,+4.66,1.2,"B-V= +0.59, U-B= +0.14, R-I= +0.19",80,0.004321373782642578,0.59,5952.29
1792,Bonner Durchmusterung +18°1214,47.8,14.7,0.82,V,+6.75,+5.92,0.37,,60,-0.08618614761628333,1.0,4958.1
1793,Cordoba Durchmusterung -25°3237,97.4,29.9,1.04,V,+6.06,+3.68,2.93,"B-V= +0.53, U-B= +0.05",100,0.017033339298780367,0.53,6142.78
1794,V577 Monoceri,13.47,4.131,0.719,V,+11.76 (increasing to +10.96),+13.68 (increasing to +12.88),0.000294 (increasing to  0.000614),,20,-0.1432711096171174,1.0,4958.1
1800,Bonner Durchmusterung -5°1844,28.38,8.7,0.972,V,+6.56,+6.86,0.157,"B-V= +1.05, U-B= +0.95, R-I= +0.39",40,-0.012333735073725432,1.05,4863.75
1801,38 Geminorum,91.1,27.9,1.47,V,+4.74,+2.51,8.64,"B-V= +0.31, U-B= +0.03",100,0.16731733474817606,0.31,6997.01
1803,Innes 65,141.0,43.2,1.2,IV-V,+6.91,+3.73,2.80,,160,0.0791812460476248,1.0,4958.1
1805,Gliese 264.1,53.0,16.2,1.06,V,+5.56,+4.50,1.37,"B-V= +0.64, U-B= +0.05, R-I= +0.22",60,0.025305865264770258,0.64,5804.4
1807,Giclas 87-28,78.6,24.1,0.0143,VI,+14.67,+12.76,0.00069,"B-V= +1.65, U-B= +1.27, R-I= +1.25",80,-1.8446639625349381,1.65,3999.8
1808,Lambda Geminorum,94.3,28.9,3.11,V,+3.58,+1.27,26.9,"B-V= +0.11, U-B= +0.10, R-I= -0.05",100,0.4927603890268375,0.11,8092.89
1809,Innes 7,48.2,14.8,0.82,V,+7.15,+6.30,0.26,,60,-0.08618614761628333,1.0,4958.1
1810,Delta Geminorum,58.8,18.0,3.1,IV-V,+3.53,+2.25,11.0,"B-V= +0.34, U-B= +0.04, R-I= +0.10",60,0.49136169383427264,0.34,6863.1
1811,Rho Geminorum,60.3,18.5,1.22,V,+4.18,+2.84,6.34,"B-V= +0.32, U-B= -0.03",80,0.08635983067474821,0.32,6951.65
1812,Gliese 275.2,37.7,11.6,0.0149,VI,+13.56,+13.25,0.00044,"B-V= +1.71, U-B= +1.22",40,-1.8268137315877258,1.71,3933.41
1813,VV Lyncis,39.3,12.0,0.48,V,+10.58,+10.18,0.0074,"B-V= +1.47, U-B= +1.15, R-I= +1.07",40,-0.3187587626244128,1.47,4217.05
1816,Castor,51.6,15.8,2.28,V,+2.69,+1.70,18.3,,60,0.35793484700045375,1.0,4958.1
1818,Procyon,11.41,3.497,1.443,IV-V,+0.38,+2.66,7.508,"B-V= +0.42, U-B= +0.02, R-I= +0.14",20,0.15926633109349422,0.42,6535.23
1819,Gliese 282,46.3,14.2,0.78,V,+7.16,+6.40,0.24,"B-V= +0.96, U-B= +0.73, R-I= +0.32",60,-0.10790539730951958,0.96,5036.96
1820,Luyten 745-46,29.1,8.93,0.0132,wd,+13.00,+13.25,0.00044,"B-V= +0.24, U-B= -0.62, R-I= +0.04",40,-1.87942606879415,0.24,7336.64
1821,Cordoba Durchmusterung -33°4113,49.58,15.2,1.16,V,+5.36,+4.45,1.444,"B-V= +0.59, U-B= -0.06, R-I= +0.23",60,0.06445798922691845,0.59,5952.29
1824,9 Puppis,54.4,16.7,1.01,V,+5.72,+4.61,1.25,"B-V= +0.57, U-B= +0.05",60,0.004321373782642578,0.57,6014.13
1825,Cordoba Durchmusterung -34°4036,58.79,18.02,0.93,V,+5.05,+3.77,2.702,,60,-0.031517051446064856,1.0,4958.1
1829,Cordoba Durchmusterung -59°1773,52.81,16.19,1.149,V,+5.59,+4.55,1.320,"B-V= +0.57, U-B= +0.02, R-I= +0.20",60,0.060320028688285184,0.57,6014.13
1831,Bonner Durchmusterung +7°1919,121.0,37.0,0.66,V,+10.45,+7.61,0.079,R-I= +0.46,140,-0.18045606445813128,1.0,4958.1
1834,18 Puppis,73.3,22.5,1.06,V,+5.53,+3.77,2.70,"B-V= +0.49, U-B= +0.00, R-I= +0.18",80,0.025305865264770258,0.49,6278.54
1835,Hussey 115,70.6,21.6,0.644,V,+9.74,+8.06,0.052,,80,-0.19111413264018787,1.0,4958.1
1837,Worley 19,96.0,29.0,0.51,V,+11.48,+9.14,0.02,,100,-0.2924298239020636,1.0,4958.1
1840,Bonner Durchmusterung +7°1997,86.6,26.5,1.03,V,+6.00,+3.88,2.44,"B-V= +0.52, U-B= +0.04",100,0.012837224705172215,0.52,6176.03
1841,S.W. Burnham 208,65.0,19.9,1.06,V,+5.28,+3.78,2.67,,80,0.025305865264770258,1.0,4958.1
1843,Bonner Durchmusterung +10°1857,48.8,15.0,0.66,V,+9.70,+8.82,0.026,"B-V= +1.54, U-B= +1.20, R-I= +1.05",60,-0.18045606445813128,1.54,4129.12
1844,Luyten Double Star 230,72.9,22.4,0.8,V,+8.13,+6.38,0.24,"B-V= +0.90, U-B= +0.64, R-I= +0.36",80,-0.09691001300805638,0.9,5161.34
1845,Delta Velorum,79.75,24.45,3.495,V,+2.02,+0.08,81.03,,80,0.5434471800817002,1.0,4958.1
