star_name,distance_l,distance_par,diameter,class,mag,mag_a,visual_lum,color
Bonner Durchmusterung +63°229 ,43.8,13.4,0.71,V,+8.42,+7.78,0.068,B-V= +1.22
Bonner Durchmusterung +27°273 ,63,19,,V?,+10.40,+8.98,0.02,B-V= +1.46
Cape Photographic Durchmusterung -54°365 ,56.6,17.4,,V,+5.54,+4.34,1.59,B-V= +0.53
Catalogue Astrographique +3°2259-31,29,8.8,,V,+10.93,+11.21,0.003,B-V= +1.54
Luyten 88-59,41,13,,wd,+13.88,+13.37,0.0004,B-V= +0.44
Tau Ceti,11.90,3.647,0.823,V,+3.50,+5.69,0.463,B-V= +0.72
Bonner Durchmusterung +11°231 ,75.2,23.1,0.79,V,+8.91,+7.10,0.13,B-V= +1.05
Bonner Durchmusterung +63°238 ,32.54,9.976,0.976,V,+5.63,+5.64,0.485,B-V= +0.81
Cordoba Durchmusterung -27°605 ,126,38.8,0.71,V,+8.98,+6.04,0.34,B-V= +0.81
Bonner Durchmusterung +31°316 ,89.0,27.3,,V,+5.77,+3.59,3.18,B-V= +0.55
Cordoba Durchmusterung -42°638,147,45.1,0.83,V,+7.13,+3.86,2.50,B-V= +0.65
Eggen/Greenstein white dwarf 269,53,16,,wd,+12.44,+11.37,0.002,B-V= +0.06
Ross 555,38,12,,V?,+11.80,+11.47,0.002,B-V= +1.50
Alpha Trianguli,64.1,19.7,3.17,IV,+3.42,+1.95,14.5,B-V= +0.48
Bonner Durchmusterung +65°210,72.2,22.1,,V?,+8.48,+6.75,0.17,B-V= +1.01
Cordoba Durchmusterung -23°693 ,36.2,11.1,0.73,V,+8.89,+8.67,0.030,B-V= +1.41
Beta Arietis,59.6,18.3,2.36,V,+2.65,+1.34,25.4,B-V= +0.13
Cape Photographic Durchmusterung -60°167 ,64.3,19.7,0.74,V,+8.61,+7.14,0.12,B-V= +1.16
Cape Photographic Durchmusterung -52°242,85.9,26.3,1.27,V,+6.10,+3.99,2.20,B-V= +0.48
Ross 15,41.5,12.7,,V,+12.21,+11.68,0.0018,B-V= +1.56
Bonner Durchmusterung +32°360 ,80.1,24.5,,V,+7.14,+5.19,0.73,B-V= +0.78
Alpha Hydri,71.3,21.9,3.05,V,+2.86,+1.16,30.0,B-V= +0.28
Luyten 1159-16,14.6,4.47,,V,+12.28,+14.03,0.00021,B-V= +1.80
Bonner Durchmusterung +34°363,642,197,,,+8.40,+1.93,15,
Bonner Durchmusterung -16°365,83.3,25.5,,V,+7.79,+5.75,0.44,
Bonner Durchmusterung -18°359 ,27.6,8.47,,V?,+10.19,+10.55,0.0052,B-V= +1.51
Alpha Arietis,65.9,20.2,18.9,IIIab,+2.01,+0.48,56.0,B-V= +1.15
Rob 115,36,11,,V,+12.72,+12.49,0.0009,
Eggen/Greenstein white dwarf 168,55,17,,wd,+14.52,+13.38,0.0004,B-V= +0.33
Cordoba Durchmusterung -51°532 ,35.60,10.91,0.856,V,+6.12,+5.93,0.370,B-V= +0.82
Bonner Durchmusterung +2°348 ,37.6,11.5,,V,+10.06,+9.75,0.011,B-V= +1.44
Eta Arietis,98.3,30.1,1.40,V,+5.25,+2.85,6.29,B-V= +0.43
Mu Fornacis,332,102,3.28,V,+5.27,+0.23,70.4,B-V= -0.02
Bonner Durchmusterung -21°397 ,69,21,,V,+9.88,+8.24,0.04,B-V= +1.36
Bonner Durchmusterung +67°191 ,76.8,23.6,0.89,V,+7.23,+5.37,0.62,B-V= +0.90
Cordoba Durchmusterung -32°828 ,30,9.2,,V?,+10.32,+10.50,0.006,B-V= +1.50
Giclas white Dwarf 25,72.5,22.2,,wd,+14.54,+12.81,0.00066,B-V= +0.23
Eggen/Greenstein white dwarf 16,64.1,19.6,,wd,+16.20,+14.73,0.00011,B-V= +0.72
Delta Trianguli,35.38,10.85,0.98,V,+4.86,+4.69,1.161,B-V= +0.61
Bonner Durchmusterung +55°570 ,80,24,0.8,V,+8.27,+6.33,0.3,B-V= +0.92
Cordoba Durchmusterung -26°828 ,41.35,12.68,0.763,V,+6.34,+5.83,0.406,B-V= +0.73
Cordoba Durchmusterung -39°684 ,83.0,25.4,,V,+8.70,+6.68,0.19,B-V= +1.04
Bonner Durchmusterung +47°612 ,37.6,11.5,,V,+9.41,+9.10,0.020,B-V= +1.49
Cordoba Durchmusterung -31°943 ,100,30.8,0.77,V,+8.82,+6.38,0.25,B-V= +0.93
Bonner Durchmusterung -7°410 ,82,25,,V?,+8.98,+6.99,0.1,B-V= +1.08
Kappa Fornacis,71.5,21.9,1.81,V,+5.19,+3.49,3.51,B-V= +0.60
Delta Hydri,135,41.5,2.41,Vn,+4.08,+0.99,35.0,B-V= +0.03
Bonner Durchmusterung +5°336 ,91.0,27.9,0.81,V,+7.94,+5.71,0.45,B-V= +0.81
Bonner Durchmusterung +29°423,100,30.8,,V,+5.86,+3.42,3.73,B-V= +0.58
Feige 22,72.5,22.2,,wd,+12.79,+11.06,0.0033,B-V= -0.04
Bonner Durchmusterung +1°438,476,146,38,III,+5.27,-0.56,145,B-V= +1.27
29 Arietis,93.6,28.7,,V,+6.03,+3.74,2.78,B-V= +0.54
Luyten Palomar 710-47,50.5,15.5,,wd,+15.76,+14.81,0.00010,B-V= +0.75
Bonner Durchmusterung +7°398,82,25,,V?,+8.89,+6.90,0.2,B-V= +1.15
Luyten 1305-10,31.9,9.77,,V?,+12.96,+13.01,0.00054,B-V= +1.70
CC Eridani,37.55,11.51,0.67,V,+9.05 (increasing to +8.65),+8.74 (increasing to +8.34),0.0277 (increasing to  0.0400),B-V= +1.39
Cape Photographic Durchmusterung -73°178 ,73.6,22.6,,V,+8.84,+7.07,0.13,B-V= +1.04
